actor_id,first_name,last_name,last_update
10,CHRISTIAN,GABLE,"2006-02-15 04:34:33"
20,LUCILLE,TRACY,"2006-02-15 04:34:33"
30,SANDRA,PECK,"2006-02-15 04:34:33"
40,JOHNNY,CAGE,"2006-02-15 04:34:33"
50,NATALIE,HOPKINS,"2006-02-15 04:34:33"
60,HENRY,BERRY,"2006-02-15 04:34:33"
70,MICHELLE,MCCONAUGHEY,"2006-02-15 04:34:33"
80,RALPH,CRUZ,"2006-02-15 04:34:33"
90,SEAN,GUINESS,"2006-02-15 04:34:33"
100,SPENCER,DEPP,"2006-02-15 04:34:33"
110,SUSAN,DAVIS,"2006-02-15 04:34:33"
120,PENELOPE,MONROE,"2006-02-15 04:34:33"
130,GRETA,KEITEL,"2006-02-15 04:34:33"
140,WHOOPI,HURT,"2006-02-15 04:34:33"
150,JAYNE,NOLTE,"2006-02-15 04:34:33"
160,CHRIS,DEPP,"2006-02-15 04:34:33"
170,MENA,HOPPER,"2006-02-15 04:34:33"
180,JEFF,SILVERSTONE,"2006-02-15 04:34:33"
190,AUDREY,BAILEY,"2006-02-15 04:34:33"
200,THORA,TEMPLE,"2006-02-15 04:34:33"
